time,symbol,open,high,low,close,volume,trades
2025-08-29 13:40:00,BTCUSDT,109745.9,109770.4,109578.0,109582.3,335.76099999999997,4505
2025-08-29 13:41:00,BTCUSDT,109582.4,109747.7,109521.7,109724.6,289.36,4382
2025-08-29 13:42:00,BTCUSDT,109724.6,109908.5,109724.6,109846.4,301.15099999999995,3795
2025-08-29 13:43:00,BTCUSDT,109845.8,109847.8,109660.3,109697.0,109.194,2359
2025-08-29 13:44:00,BTCUSDT,109697.0,109755.1,109650.0,109676.1,96.35,1773
2025-08-29 13:45:00,BTCUSDT,109676.1,109686.8,109151.0,109157.6,832.1499999999999,10896
2025-08-29 13:46:00,BTCUSDT,109157.6,109428.5,109150.0,109165.5,512.392,7021
2025-08-29 13:47:00,BTCUSDT,109165.4,109211.4,109070.5,109124.5,670.491,6006
2025-08-29 13:48:00,BTCUSDT,109124.4,109396.2,109123.1,109332.9,383.645,5121
2025-08-29 13:49:00,BTCUSDT,109332.8,109332.8,109171.7,109228.1,124.66399999999999,2492
2025-08-29 13:50:00,BTCUSDT,109228.1,109425.0,109218.8,109405.7,303.816,4220
2025-08-29 13:51:00,BTCUSDT,109405.6,109485.9,109315.6,109332.7,276.06999999999994,3330
2025-08-29 13:52:00,BTCUSDT,109335.1,109385.0,109293.1,109378.7,66.57,1615
2025-08-29 13:53:00,BTCUSDT,109378.6,109480.4,109365.5,109405.1,135.437,2161
2025-08-29 13:54:00,BTCUSDT,109408.4,109426.9,109226.5,109245.6,77.28999999999999,2037
2025-08-29 13:55:00,BTCUSDT,109245.6,109333.1,109245.6,109259.9,126.041,1992
2025-08-29 13:56:00,BTCUSDT,109259.8,109259.9,108817.7,108880.8,652.488,9001
2025-08-29 13:57:00,BTCUSDT,108880.9,109035.4,108832.2,109032.1,280.52799999999996,4069
2025-08-29 13:58:00,BTCUSDT,109032.2,109177.0,109032.2,109057.5,222.191,3067
2025-08-29 13:59:00,BTCUSDT,109056.5,109074.9,109000.3,109063.3,70.252,1759
2025-08-29 14:00:00,BTCUSDT,109063.3,109423.6,109004.0,109394.8,395.911,5269
2025-08-29 14:01:00,BTCUSDT,109394.8,109484.6,109260.6,109310.0,209.675,4469
