time,start_ms,start_iso,open,high,low,close,volume,vwap,bb_mid,bb_up,bb_low,bb_width,bb_status,bb_score,vwap_status,vwap_dist_pct,vwap_score,ema_5,ema_12,ema_21,rsi,ema_dist_pct,ema_score,ema_status,ema_pair_abs_diff_12_21,ema_pair_spread_pct_12_21,ema_pair_score_12_21,ema_pair_status_12_21,ema_dist_pct_21,ema_score_21,ema_status_21,ema_pair_abs_diff,ema_pair_spread_pct,ema_pair_score,ema_pair_status,candle_pattern
2025-08-22 22:30:00+00:00,1755901800000,2025-08-22T22:30:00+00:00,116637.7,116669.9,116637.7,116669.8,10.935999999999991,116659.13333333333,,,,,CENTER,,VWAP < CLOSE,0.01,100.0,116669.8,116669.8,116669.8,50.0,0.0,100.0,EMA < CLOSE,0.0,0.0,0.0,FAST_ABOVE_SLOW,0.0,100.0,EMA < CLOSE,0.0,0.0,0.0,FAST_ABOVE_SLOW,GREEN
2025-08-22 22:30:30+00:00,1755901830000,2025-08-22T22:30:30+00:00,116669.9,116681.6,116669.8,116681.6,9.177999999999972,116667.5900765636,,,,,CENTER,,VWAP < CLOSE,0.01,100.0,116673.73333333335,116671.61538461539,116670.87272727273,50.0,0.01,100.0,EMA = CROSSOVER,0.742657,0.0,0.742657,EMA FAST = CROSSOVER,0.01,100.0,EMA = CROSSOVER,0.742657,0.0,0.742657,EMA FAST = CROSSOVER,GREEN
2025-08-22 22:31:00+00:00,1755901860000,2025-08-22T22:31:00+00:00,116681.6,116697.2,116681.5,116689.7,17.925000000000008,116677.89891427218,,,,,CENTER,,VWAP < CLOSE,0.01,100.0,116679.05555555558,116674.39763313609,116672.58429752065,50.0,0.01,100.0,EMA < CLOSE,1.813336,0.0,1.813336,FAST_ABOVE_SLOW,0.01,100.0,EMA < CLOSE,1.813336,0.0,1.813336,FAST_ABOVE_SLOW,GREEN
2025-08-22 22:31:30+00:00,1755901890000,2025-08-22T22:31:30+00:00,116689.7,116696.3,116689.7,116693.0,13.742999999999999,116681.90675910549,,,,,CENTER,,VWAP < CLOSE,0.01,100.0,116683.70370370374,116677.25953573054,116674.44027047331,50.0,0.02,100.0,EMA < CLOSE,2.819265,0.0,2.819265,FAST_ABOVE_SLOW,0.02,100.0,EMA < CLOSE,2.819265,0.0,2.819265,FAST_ABOVE_SLOW,GREEN
2025-08-22 22:32:00+00:00,1755901920000,2025-08-22T22:32:00+00:00,116692.9,116710.7,116692.9,116710.6,3.1589999999999923,116683.21924246008,,,,,CENTER,,VWAP < CLOSE,0.02,99.98,116692.66913580251,116682.38883792583,116677.7275186121,50.0,0.03,99.97,EMA < CLOSE,4.661319,0.0,4.661319,FAST_ABOVE_SLOW,0.03,99.97,EMA < CLOSE,4.661319,0.0,4.661319,FAST_ABOVE_SLOW,GREEN
2025-08-22 22:32:30+00:00,1755901950000,2025-08-22T22:32:30+00:00,116710.6,116710.7,116690.7,116690.7,15.366000000000001,116686.31124354617,,,,,CENTER,,VWAP < CLOSE,0.0,100.0,116692.01275720168,116683.66747824493,116678.9068351019,88.18249123462101,0.01,100.0,EMA < CLOSE,4.760643,0.0,4.760643,FAST_ABOVE_SLOW,0.01,100.0,EMA < CLOSE,4.760643,0.0,4.760643,FAST_ABOVE_SLOW,BEARISH_ENGULFING
2025-08-22 22:33:00+00:00,1755901980000,2025-08-22T22:33:00+00:00,116690.7,116690.8,116681.6,116681.6,5.5310000000000015,116686.19130163417,,,,,CENTER,,VWAP = CROSSUNDER,0.0,100.0,116688.54183813446,116683.34940466878,116679.15166827444,83.33279137214467,0.0,100.0,EMA < CLOSE,4.197736,0.0,4.197736,FAST_ABOVE_SLOW,0.0,100.0,EMA < CLOSE,4.197736,0.0,4.197736,FAST_ABOVE_SLOW,RED
2025-08-22 22:33:30+00:00,1755902010000,2025-08-22T22:33:30+00:00,116681.6,116681.6,116628.3,116628.4,27.577000000000062,116675.50041708973,,,,,CENTER,,VWAP > CLOSE,0.04,99.96,116668.49455875631,116674.89565010436,116674.53788024948,61.90002442027863,0.04,99.96,EMA = CROSSUNDER,0.35777,0.0,0.35777,FAST_ABOVE_SLOW,0.04,99.96,EMA = CROSSUNDER,0.35777,0.0,0.35777,FAST_ABOVE_SLOW,RED
2025-08-22 22:34:00+00:00,1755902040000,2025-08-22T22:34:00+00:00,116628.3,116641.6,116628.3,116641.5,8.447999999999997,116672.60289848594,,,,,CENTER,,VWAP > CLOSE,0.03,99.97,116659.49637250422,116669.75785778061,116671.53443659045,64.33266171061021,0.03,99.97,EMA > CLOSE,1.776579,0.0,1.776579,EMA FAST = CROSSUNDER,0.03,99.97,EMA > CLOSE,1.776579,0.0,1.776579,EMA FAST = CROSSUNDER,BULLISH_ENGULFING
2025-08-22 22:34:30+00:00,1755902070000,2025-08-22T22:34:30+00:00,116641.6,116663.1,116641.6,116663.0,8.561999999999998,116671.41535257075,,,,,CENTER,,VWAP > CLOSE,0.01,100.0,116660.66424833616,116668.71818735282,116670.7585787186,67.94957653925978,0.01,100.0,EMA > CLOSE,2.040391,0.0,2.040391,FAST_BELOW_SLOW,0.01,100.0,EMA > CLOSE,2.040391,0.0,2.040391,FAST_BELOW_SLOW,GREEN
2025-08-22 22:35:00+00:00,1755902100000,2025-08-22T22:35:00+00:00,116663.0,116663.2,116663.0,116663.1,10.909999999999977,116670.72459613456,,,,,CENTER,,VWAP > CLOSE,0.01,100.0,116661.47616555745,116667.853850837,116670.06234428962,67.96584801849735,0.01,100.0,EMA > CLOSE,2.208493,0.0,2.208493,FAST_BELOW_SLOW,0.01,100.0,EMA > CLOSE,2.208493,0.0,2.208493,FAST_BELOW_SLOW,GREEN
2025-08-22 22:35:30+00:00,1755902130000,2025-08-22T22:35:30+00:00,116663.2,116663.2,116577.0,116577.1,43.486999999999995,116654.56630096136,,,,,CENTER,,VWAP > CLOSE,0.07,99.93,116633.35077703831,116653.891719939,116661.61122208147,46.229193050695734,0.07,99.93,EMA > CLOSE,7.719502,0.01,7.719502,FAST_BELOW_SLOW,0.07,99.93,EMA > CLOSE,7.719502,0.01,7.719502,FAST_BELOW_SLOW,BEARISH_ENGULFING
2025-08-22 22:36:00+00:00,1755902160000,2025-08-22T22:36:00+00:00,116577.1,116653.6,116577.1,116653.6,44.72000000000017,116649.17520049316,,,,,CENTER,,VWAP = CROSSOVER,0.0,100.0,116640.10051802555,116653.84683994838,116660.88292916496,58.83960275065387,0.01,100.0,EMA > CLOSE,7.036089,0.01,7.036089,FAST_BELOW_SLOW,0.01,100.0,EMA > CLOSE,7.036089,0.01,7.036089,FAST_BELOW_SLOW,BULLISH_ENGULFING
2025-08-22 22:36:30+00:00,1755902190000,2025-08-22T22:36:30+00:00,116653.5,116653.6,116653.5,116653.5,13.019999999999998,116649.41919086812,,,,,CENTER,,VWAP < CLOSE,0.0,100.0,116644.56701201704,116653.79347995632,116660.21175378632,58.820183509012125,0.01,100.0,EMA > CLOSE,6.418274,0.01,6.418274,FAST_BELOW_SLOW,0.01,100.0,EMA > CLOSE,6.418274,0.01,6.418274,FAST_BELOW_SLOW,SHOOTING_STAR
2025-08-22 22:37:00+00:00,1755902220000,2025-08-22T22:37:00+00:00,116653.5,116653.5,116620.1,116643.1,9.122999999999994,116649.02211790832,,,,,CENTER,,VWAP = CROSSUNDER,0.01,100.0,116644.07800801136,116652.1483291938,116658.65613980574,56.72345019558562,0.01,100.0,EMA > CLOSE,6.507811,0.01,6.507811,FAST_BELOW_SLOW,0.01,100.0,EMA > CLOSE,6.507811,0.01,6.507811,FAST_BELOW_SLOW,HAMMER
2025-08-22 22:37:30+00:00,1755902250000,2025-08-22T22:37:30+00:00,116643.0,116643.1,116643.0,116643.0,2.7309999999999994,116648.95520178712,,,,,CENTER,,VWAP > CLOSE,0.01,100.0,116643.71867200758,116650.74089393322,116657.23285436885,56.70252013305259,0.01,100.0,EMA > CLOSE,6.49196,0.01,6.49196,FAST_BELOW_SLOW,0.01,100.0,EMA > CLOSE,6.49196,0.01,6.49196,FAST_BELOW_SLOW,SHOOTING_STAR
2025-08-22 22:38:00+00:00,1755902280000,2025-08-22T22:38:00+00:00,116643.0,116643.0,116625.5,116625.5,11.880999999999974,116648.1383158341,,,,,CENTER,,VWAP > CLOSE,0.02,100.0,116637.64578133839,116646.85767948197,116654.34804942622,53.015833592186304,0.02,99.98,EMA > CLOSE,7.49037,0.01,7.49037,FAST_BELOW_SLOW,0.02,99.98,EMA > CLOSE,7.49037,0.01,7.49037,FAST_BELOW_SLOW,RED
2025-08-22 22:38:30+00:00,1755902310000,2025-08-22T22:38:30+00:00,116625.5,116625.6,116566.5,116566.6,33.39300000000001,116641.00243582219,,,,,CENTER,,VWAP > CLOSE,0.06,99.94,116613.96385422561,116634.51034417705,116646.37095402383,42.90468487787128,0.07,99.93,EMA > CLOSE,11.86061,0.01,11.86061,FAST_BELOW_SLOW,0.07,99.93,EMA > CLOSE,11.86061,0.01,11.86061,FAST_BELOW_SLOW,RED
2025-08-22 22:39:00+00:00,1755902340000,2025-08-22T22:39:00+00:00,116566.5,116603.7,116566.5,116603.7,9.332000000000004,116639.45130202237,,,,,CENTER,,VWAP > CLOSE,0.03,99.97,116610.54256948375,116629.77029122673,116642.4917763853,49.44504857457366,0.03,99.97,EMA > CLOSE,12.721485,0.01,12.721485,FAST_BELOW_SLOW,0.03,99.97,EMA > CLOSE,12.721485,0.01,12.721485,FAST_BELOW_SLOW,BULLISH_ENGULFING
2025-08-22 22:39:30+00:00,1755902370000,2025-08-22T22:39:30+00:00,116603.8,116603.8,116589.3,116589.3,12.249999999999973,116637.66782931543,116648.42,116726.89650858697,116569.94349141303,0.13455220154198927,LOWER_HALF,75.33464608007438,VWAP > CLOSE,0.04,99.96,116603.46171298917,116623.54409257646,116637.65616035026,47.185690797804966,0.04,99.96,EMA > CLOSE,14.112068,0.01,14.112068,FAST_BELOW_SLOW,0.04,99.96,EMA > CLOSE,14.112068,0.01,14.112068,FAST_BELOW_SLOW,BEARISH_ENGULFING
2025-08-22 22:40:00+00:00,1755902400000,2025-08-22T22:40:00+00:00,116589.4,116589.4,116555.6,116555.6,16.38199999999994,116634.12792244258,116642.71,116730.23048674453,116555.18951325548,0.15006593510135038,LOWER_HALF,99.5309821050924,VWAP > CLOSE,0.07,99.93,116587.50780865946,116613.091155257,116630.19650940933,42.31280624893919,0.06,99.94,EMA > CLOSE,17.105354,0.01,17.105354,FAST_BELOW_SLOW,0.06,99.94,EMA > CLOSE,17.105354,0.01,17.105354,FAST_BELOW_SLOW,RED
2025-08-22 22:40:30+00:00,1755902430000,2025-08-22T22:40:30+00:00,116555.6,116565.0,116555.6,116555.6,23.39599999999997,116629.1031914732,116636.41,116729.77069622705,116543.04930377296,0.16008842560747943,LOWER_HALF,86.55676667561686,VWAP > CLOSE,0.06,99.94,116576.87187243965,116604.24636214055,116623.41500855393,42.31280624893919,0.06,99.94,EMA > CLOSE,19.168646,0.02,19.168646,FAST_BELOW_SLOW,0.06,99.94,EMA > CLOSE,19.168646,0.02,19.168646,FAST_BELOW_SLOW,SHOOTING_STAR
